num_obra	cod_material	descricao	und_medida	qtdprevista	qtdrealizada	val_material	val_requisitado	nome
0612600476	90797	CONECTOR CUNHA ALUM CN-13 6,55-10,11/5,18-8,38MM VRM	UN	2	2	6,775	13,55	ARAGOMINAS
0612600476	90837	MASSA PARA CALAFETAR NA COR CINZA	KG	1	1	8,51	8,51	ARAGOMINAS
0612600476	91217	CABO COBRE ISOLAD 450/750V BWF/PVC 10MM2 CL2/4/5 PRT	M	3	3	7,08	21,24	ARAGOMINAS
0612600476	91639	TRANSF DISTR AER OVI 1F 19,919KV 440/220V 25KVA CL2 5TP	UN	1	1	7717,245	7717,245	ARAGOMINAS
0612600476	92325	ELETRODUTO RIGIDO INFRA PVC 3000MM DN20 PRT	UN	2	2	10,73	21,46	ARAGOMINAS
0612600493	90070	TRANSF DISTR AER OMI 1F 19,919KV 440/220V 25KVA CL2 5TP	UN	1	1	7717,245	7717,245	XAMBIOÁ
0612600493	90208	PARA-RAIOS DISTR BT POLIM 220V 10KA OX MT S/CENT RSI	UN	2	2	16,49	32,98	XAMBIOÁ
0612600493	90212	PARA-RAIOS DISTR MT POLIM 30KV 10KA OX ZN S/CENT S/FERR	UN	1	1	182,19	182,19	XAMBIOÁ
0612600493	90279	ISOLADOR BASTAO POLIM ANCOR 36.2KV 550MM 745MM 50KN GO	UN	1	1	52,2258	52,2258	XAMBIOÁ
0612600493	90300	ARAME REDOND ACO-GALV DURA 2,77MM BWG12	KG	0,25	0,25	17,6989	4,424725	XAMBIOÁ
0612600493	90341	CONECT TERM ESTRANG CB/BAR ALUM 2F 106X22MM 9.00-9.70MM	UN	3	3	38,04	114,12	XAMBIOÁ
0612600493	90345	CONEC DERIV CUNHA-ESTRIBO ALUM/COBR 5,88-8,01MM/2AWG VM	UN	1	1	29,56	29,56	XAMBIOÁ
0612600493	90460	CONECTOR GRAMPO LINHA VIVA COBR 2-1/0AWG/8-2/0AWG 100A	UN	1	1	84,655	84,655	XAMBIOÁ
0612600493	90499	ELO FUSIVEL DISTRIBUICAO TIPO H 2A 500MM	UN	1	1	5,1505	5,1505	XAMBIOÁ
0612600493	90586	CAPA PROTETORA TRANSF MT PEAD 15/36,2KV 135X110MM	UN	1	1	11,26	11,26	XAMBIOÁ
0612600493	90797	CONECTOR CUNHA ALUM CN-13 6,55-10,11/5,18-8,38MM VRM	UN	1	1	6,775	6,775	XAMBIOÁ
0612600493	90826	CONEC TERM CPR CB/BAR RT RLD ALUM 1F 7,70-8,60MM 85X23MM	UN	2	2	4,89	9,78	XAMBIOÁ
0612600493	92172	CONECTOR GRAMPO LINHA VIVA ALUM 34-170MM2/ESTRIBO 6,4MM 100A	UN	1	1	51,6737	51,6737	XAMBIOÁ
0612600493	92325	ELETRODUTO RIGIDO INFRA PVC 3000MM DN20 PRT	UN	2	2	10,73	21,46	XAMBIOÁ
0612600596	90210	PARA-RAIOS DISTR MT POLIM 12KV 10KA OX ZN S/CENT S/FERR	UN	3	3	109,41	328,23	ARAGUAÍNA
0612600596	90251	PINO ISOLADOR AUTOTRAVANTE ACO M20/M16 168,5MM	UN	1	1	8,0286	8,0286	ARAGUAÍNA
0612600596	90253	ISOLADOR PILAR PORCEL 15,0KV 220MM 300MM 8.0KN M20 CTC	UN	1	1	49,52	49,52	ARAGUAÍNA
0612600596	90257	CABO ACO COBREADO 1F LCA IACS53% 7X2,06MM 25MM2	KG	5	5	82,62	413,1	ARAGUAÍNA
0612600596	90266	CABO ALUM PROT SPL XLPE 1F 15,0KV 50MM2 BLOQ CNZ	M	20	20	5,97	119,4	ARAGUAÍNA
0612600596	90289	CABO ALUM MULTIPLEX 0,6/1,0KV XLPE 3F 3X1X70MM2+70MM2	M	55	55	22,135	1217,425	ARAGUAÍNA
0612600596	90294	CABO COBR PROT SPL XLPE 1F 15,0KV 16MM2 BLOQ CNZ	M	12	12	11,44	137,28	ARAGUAÍNA
0612600596	90300	ARAME REDOND ACO-GALV DURA 2,77MM BWG12	KG	1	1	17,6989	17,6989	ARAGUAÍNA
0612600596	90304	ALCA PREF SERV ACO-ZINC 4,90-5,40MM 305MM BRC	UN	2	2	1,13	2,26	ARAGUAÍNA
0612600596	90306	ALCA PREF DISTR ACO-ZINC 7,30-8,20MM 610MM VRM	UN	15	15	4,31	64,65	ARAGUAÍNA
0612600596	90307	ALCA PREF DISTR ACO-ZINC 9,15-10,25MM 670MM AMR	UN	5	5	7,47	37,35	ARAGUAÍNA
0612600596	90342	CONECT TERM ESTRANG CB/BAR ALUM 2F 123X25MM 11.20-12.30MM	UN	6	6	59,585	357,51	ARAGUAÍNA
0612600596	90353	CONECTOR DERIV PERF RSI CB/CB 1,0KV 16-120MM2/4,0-35MM2	UN	36	36	11,875	427,5	ARAGUAÍNA
0612600596	90359	PARAFUSO DISTR CAB QUAD ACO-GALV M16 100MM 5000DAN	UN	4	4	4,2894	17,1576	ARAGUAÍNA
0612600596	90360	PARAFUSO DISTR CAB QUAD ACO-GALV M16 125MM 5000DAN	UN	4	4	4,64	18,56	ARAGUAÍNA
0612600596	90362	PARAFUSO DISTR CAB QUAD ACO-GALV M16 200MM 5000DAN	UN	4	4	5,8264	23,3056	ARAGUAÍNA
0612600596	90363	PARAFUSO DISTR CAB QUAD ACO-GALV M16 250MM 5000DAN	UN	10	10	7,22	72,2	ARAGUAÍNA
0612600596	90364	PARAFUSO DISTR CAB QUAD ACO-GALV M16 300MM 5000DAN	UN	4	4	8,22	32,88	ARAGUAÍNA
0612600596	90372	PARAFUSO DISTR CAB ABAU ACO-GALV M16 45MM 5000DAN	UN	4	4	2,943	11,772	ARAGUAÍNA
0612600596	90393	ARMACAO SECUNDARIA ACO-GALV 1 ESTRIBO 110X50X5,0MM 125X16MM	UN	6	6	13,38	80,28	ARAGUAÍNA
0612600596	90404	CRUZETA DISTR PRFV RETANG 90X112,5MM 2400MM 400DAN	UN	2	2	149,01	298,02	ARAGUAÍNA
0612600596	90414	FITA ISOLANTE AUTOFUSAO 35KV 5M 19X0,76MM PRT	UN	1	1	9,16	9,16	ARAGUAÍNA
0612600596	90415	FITA ISOLANTE SIMPLES 750V 10M 19X0,76MM PRT	UN	1	1	5,04	5,04	ARAGUAÍNA
0612600596	90443	MAO FRANCESA PLANA ACO GALV 619X32MM 5MM 3000DAN	UN	2	2	12,3536	24,7072	ARAGUAÍNA
0612600596	90460	CONECTOR GRAMPO LINHA VIVA COBR 2-1/0AWG/8-2/0AWG 100A	UN	3	3	84,655	253,965	ARAGUAÍNA
0612600596	90463	HASTE ATERRAMENTO PERF L CHANF ACO-GALV 2400X25X25MM 5,0MM	UN	2	2	49,86	99,72	ARAGUAÍNA
0612600596	90471	CONEC DERIV CUNHA-RML COBR I 3,17-8,12/3,17-7,42MM CZ	UN	40	40	8,915	356,6	ARAGUAÍNA
0612600596	90472	CONEC DERIV CUNHA-RML COBR II 3,17-8,12/3,17-5,21MM VD	UN	13	13	5,565	72,345	ARAGUAÍNA
0612600596	90501	ELO FUSIVEL DISTRIBUICAO TIPO H 5A 500MM	UN	9	9	5,09	45,81	ARAGUAÍNA
0612600596	90522	SUPORTE TIPO L CRUZETA ACO-GALV 205X85X38X8MM 200DAN	UN	3	3	21,24	63,72	ARAGUAÍNA
0612600596	90547	CHAVE FUSIVEL DISTR BSC 15KV 300A 1F MAN SEC	PC	3	3	217,2326	651,6978	ARAGUAÍNA
0612600596	90586	CAPA PROTETORA TRANSF MT PEAD 15/36,2KV 135X110MM	UN	3	3	11,26	33,78	ARAGUAÍNA
